Product Name,Current Date,Current Price,Old Date,Old Price,Category
Royal Canin Sterilised 37 4 kg Kısırlaştırılmış Yetişkin Kuru Kedi Maması - Açık Paket,10/06/2023,328,10/06/2022,264,kedi-mamasi
Royal Canin Sterilised 37 5 kg Kısırlaştırılmış Yetişkin Kuru Kedi Maması - Açık Paket,10/06/2023,432,10/06/2022,345,kedi-mamasi
Royal Canin Sterilised 37 Kısırlaştırılmış 10 kg Yetişkin Kedi Maması,10/06/2023,1289,10/06/2022,717,kedi-mamasi
N&D Ancestral Grain Düşük Tahıllı Medium&Maxi Kuzu Etli Yaban Mersinli 1 kg Yetişkin Köpek Maması - Açık,10/06/2023,188,05/01/2023,115,kopek-mamasi
N&D Ancestral Grain Düşük Tahıllı Medium & Maxi Kuzu Etli ve Yaban Mersinli 2.5 kg Yetişkin Köpek Maması,10/06/2023,429,03/10/2022,240,kopek-mamasi
N&D Ancestral Grain Düşük Tahıllı Medium&Maxi Kuzu Etli Yaban Mersinli 3 kg Yetişkin Köpek Maması - Açık,10/06/2023,455,22/05/2023,470,kopek-mamasi
N&D Ancestral Grain Düşük Tahıllı Medium&Maxi Kuzu Etli Yaban Mersinli 4 kg Yetişkin Köpek Maması - Açık,10/06/2023,596,22/05/2023,620,kopek-mamasi
Familia Plus 3 Katlı 16'lı Tuvalet Kağıdı,10/06/2023,89,10/06/2022,57,tuvalet-kagidi
Familia Plus 3 Katlı 24'lü Tuvalet Kağıdı,10/06/2023,125,10/06/2022,84,tuvalet-kagidi
Familia Plus 3 Katlı 48'li Tuvalet Kağıdı,10/06/2023,213,10/06/2022,163,tuvalet-kagidi
Familia Plus 3 Katlı 64'lü Tuvalet Kağıdı,10/06/2023,343,10/06/2022,223,tuvalet-kagidi
Familia Plus 3 Katlı 96'lı Tuvalet Kağıdı,10/06/2023,409,10/06/2022,299,tuvalet-kagidi
Familia Plus 3 Katlı 128'li Tuvalet Kağıdı,10/06/2023,636,10/06/2022,414,tuvalet-kagidi
Solo 3'lü Kağıt Havlu,10/06/2023,37,11/06/2022,21,kagit-havlu
