Product Name,Current Date,Current Price,Old Date,Old Price,Category
Apple iPhone 11 128GB Akıllı Cep Telefonu,10/06/2023,19399,10/06/2022,14649,cep-telefonlari
Sony Playstation 5 Oyun Konsolu,10/06/2023,16999,11/06/2022,14499,oyun-konsollari
Apple iPhone 12 5G 64GB 4GB Ram 6.1 inç 12MP Akıllı Cep Telefonu Mor,10/06/2023,28347,13/06/2022,18067,cep-telefonlari
Apple iPhone 13 Pro Max 5G 128GB 6GB Ram 6.7 inç 12MP Akıllı Cep Telefonu Yeşil,10/06/2023,49849,11/06/2022,31279,cep-telefonlari
